round,player_id,contribution,total_pool,reward
7,3,8,58,11
7,2,3,22,2
4,4,2,32,4
7,1,3,58,8
8,5,6,40,0
8,8,2,38,11
7,5,8,35,3
2,5,5,47,2
4,8,4,24,5
8,7,4,27,0
3,4,0,34,16
4,4,0,73,2
9,7,3,28,18
1,8,8,37,2
4,5,5,39,8
4,2,4,55,17
9,8,1,64,0
7,5,4,78,10
4,1,2,63,0
8,2,1,45,18
6,3,4,21,5
9,4,1,57,4
5,1,8,25,17
9,7,1,22,12
6,9,1,40,14
2,3,7,42,19
8,5,2,45,15
3,2,8,68,4
8,7,9,77,18
9,1,8,41,8
2,4,3,39,19
8,6,3,64,10
2,3,4,49,6
9,7,3,79,18
2,8,3,51,8
3,6,6,67,0
4,8,1,21,0
5,6,6,67,7
3,5,2,59,17
1,5,7,58,1
8,8,7,57,15
6,9,0,49,6
9,1,5,51,0
6,3,4,46,8
1,3,6,31,11
6,1,1,65,11
6,8,1,42,16
2,2,4,34,16
4,2,0,79,10
9,1,7,54,18
1,3,6,60,8
9,8,8,69,9
1,6,7,62,10
1,4,6,22,19
3,4,8,34,11
6,7,2,24,6
2,6,6,47,17
3,5,4,59,14
4,9,0,29,5
1,7,5,65,16
7,5,8,41,4
8,9,6,22,14
4,1,4,69,15
8,7,2,58,18
5,5,4,57,2
9,1,0,55,2
1,1,0,63,14
8,6,5,21,15
1,9,9,73,7
1,1,0,76,5
3,9,9,44,4
5,2,8,57,14
2,7,6,49,15
6,5,5,25,13
9,8,5,34,16
6,3,3,40,6
7,6,8,77,4
9,5,1,39,13
5,7,8,32,7
9,4,3,30,13
5,1,7,23,1
2,5,8,72,14
4,1,5,53,2
3,3,9,33,3
8,8,1,78,1
1,7,4,77,2
7,1,9,57,14
3,4,3,77,2
8,7,4,31,8
4,5,4,33,8
7,2,4,75,3
5,6,0,33,19
3,4,0,44,10
7,9,6,38,9
5,1,8,79,9
8,9,4,76,3
1,8,8,37,16
4,3,0,74,10
4,5,1,78,14
2,1,7,68,11
