scenario,AuctionID,BidderID,Quality,Valuation,Bid,Price,Win,Overbid
1,1,1,63.94,71.86,71.86,0.0,0,0.0
1,1,2,63.94,65.2,65.2,0.0,0,0.0
1,1,3,63.94,66.68,66.68,0.0,0,0.0
1,1,4,63.94,80.04,80.04,71.86,1,16.1
1,2,1,67.67,70.99,70.99,68.83,1,3.32
1,2,2,67.67,65.0,65.0,0.0,0,0.0
1,2,3,67.67,65.5,65.5,0.0,0,0.0
1,2,4,67.67,68.83,68.83,0.0,0,0.0
1,3,1,21.86,19.55,19.55,0.0,0,0.0
1,3,2,21.86,21.79,21.79,0.0,0,0.0
1,3,3,21.86,26.44,26.44,0.0,0,0.0
1,3,4,21.86,35.61,35.61,26.44,1,13.75
1,4,1,54.49,56.96,56.96,0.0,0,0.0
1,4,2,54.49,67.6,67.6,56.96,1,13.11
1,4,3,54.49,54.91,54.91,0.0,0,0.0
1,4,4,54.49,53.43,53.43,0.0,0,0.0
1,5,1,80.58,77.66,77.66,0.0,0,0.0
1,5,2,80.58,71.94,71.94,0.0,0,0.0
1,5,3,80.58,94.63,94.63,0.0,0,0.0
1,5,4,80.58,101.39,101.39,94.63,1,20.81
1,6,1,33.66,37.43,37.43,0.0,0,0.0
1,6,2,33.66,36.14,36.14,0.0,0,0.0
1,6,3,33.66,41.48,41.48,37.43,1,7.82
1,6,4,33.66,22.53,22.53,0.0,0,0.0
1,7,1,80.71,79.14,79.14,0.0,0,0.0
1,7,2,80.71,68.42,68.42,0.0,0,0.0
1,7,3,80.71,90.33,90.33,79.14,1,9.62
1,7,4,80.71,79.07,79.07,0.0,0,0.0
1,8,1,55.2,61.85,61.85,0.0,0,0.0
1,8,2,55.2,43.01,43.01,0.0,0,0.0
1,8,3,55.2,63.68,63.68,61.85,1,8.48
1,8,4,55.2,45.18,45.18,0.0,0,0.0
1,9,1,70.46,77.35,77.35,74.41,1,6.89
1,9,2,70.46,72.5,72.5,0.0,0,0.0
1,9,3,70.46,69.46,69.46,0.0,0,0.0
1,9,4,70.46,74.41,74.41,0.0,0,0.0
1,10,1,23.28,29.78,29.78,28.06,1,6.5
1,10,2,23.28,28.06,28.06,0.0,0,0.0
1,10,3,23.28,17.01,17.01,0.0,0,0.0
1,10,4,23.28,16.11,16.11,0.0,0,0.0
1,11,1,37.02,39.0,39.0,0.0,0,0.0
1,11,2,37.02,44.65,44.65,0.0,0,0.0
1,11,3,37.02,50.34,50.34,44.65,1,13.32
1,11,4,37.02,31.42,31.42,0.0,0,0.0
1,12,1,60.91,68.6,68.6,0.0,0,0.0
1,12,2,60.91,75.13,75.13,69.27,1,14.22
1,12,3,60.91,65.97,65.97,0.0,0,0.0
1,12,4,60.91,69.27,69.27,0.0,0,0.0
1,13,1,98.95,90.82,90.82,0.0,0,0.0
1,13,2,98.95,89.12,89.12,0.0,0,0.0
1,13,3,98.95,91.27,91.27,90.82,1,0.0
1,13,4,98.95,81.31,81.31,0.0,0,0.0
1,14,1,77.6,77.94,77.94,0.0,0,0.0
1,14,2,77.6,80.13,80.13,0.0,0,0.0
1,14,3,77.6,74.44,74.44,0.0,0,0.0
1,14,4,77.6,84.84,84.84,80.13,1,7.24
1,15,1,21.1,40.24,40.24,34.51,1,19.14
1,15,2,21.1,13.92,13.92,0.0,0,0.0
1,15,3,21.1,15.33,15.33,0.0,0,0.0
1,15,4,21.1,34.51,34.51,0.0,0,0.0
1,16,1,39.56,49.09,49.09,47.06,1,9.53
1,16,2,39.56,33.89,33.89,0.0,0,0.0
1,16,3,39.56,38.86,38.86,0.0,0,0.0
1,16,4,39.56,47.06,47.06,0.0,0,0.0
1,17,1,56.14,55.08,55.08,0.0,0,0.0
1,17,2,56.14,69.35,69.35,64.22,1,13.21
1,17,3,56.14,64.22,64.22,0.0,0,0.0
1,17,4,56.14,50.09,50.09,0.0,0,0.0
1,18,1,21.93,33.87,33.87,24.55,1,11.94
1,18,2,21.93,21.75,21.75,0.0,0,0.0
1,18,3,21.93,24.55,24.55,0.0,0,0.0
1,18,4,21.93,23.61,23.61,0.0,0,0.0
1,19,1,10.96,0.0,0.0,0.0,0,0.0
1,19,2,10.96,0.0,0.0,0.0,0,0.0
1,19,3,10.96,7.77,7.77,0.0,0,0.0
1,19,4,10.96,12.67,12.67,7.77,1,1.71
1,20,1,38.16,50.43,50.43,0.0,0,0.0
1,20,2,38.16,37.86,37.86,0.0,0,0.0
1,20,3,38.16,57.69,57.69,50.43,1,19.53
1,20,4,38.16,34.57,34.57,0.0,0,0.0
1,21,1,1.15,0.0,0.0,0.0,1,0.0
1,21,2,1.15,0.0,0.0,0.0,0,0.0
1,21,3,1.15,0.0,0.0,0.0,0,0.0
1,21,4,1.15,0.0,0.0,0.0,0,0.0
1,22,1,64.1,72.26,72.26,71.21,1,8.16
1,22,2,64.1,70.99,70.99,0.0,0,0.0
1,22,3,64.1,40.34,40.34,0.0,0,0.0
1,22,4,64.1,71.21,71.21,0.0,0,0.0
1,23,1,87.59,86.6,86.6,0.0,0,0.0
1,23,2,87.59,99.33,99.33,0.0,0,0.0
1,23,3,87.59,97.16,97.16,0.0,0,0.0
1,23,4,87.59,107.48,107.48,99.33,1,19.89
1,24,1,87.05,82.77,82.77,0.0,0,0.0
1,24,2,87.05,100.67,100.67,83.41,1,13.62
1,24,3,87.05,82.59,82.59,0.0,0,0.0
1,24,4,87.05,83.41,83.41,0.0,0,0.0
1,25,1,76.25,59.41,59.41,0.0,0,0.0
1,25,2,76.25,72.0,72.0,0.0,0,0.0
1,25,3,76.25,75.92,75.92,0.0,0,0.0
1,25,4,76.25,76.19,76.19,75.92,1,0.0
1,26,1,32.42,55.25,55.25,46.07,1,22.83
1,26,2,32.42,35.22,35.22,0.0,0,0.0
1,26,3,32.42,46.07,46.07,0.0,0,0.0
1,26,4,32.42,19.38,19.38,0.0,0,0.0
1,27,1,30.75,49.92,49.92,38.05,1,19.17
1,27,2,30.75,38.05,38.05,0.0,0,0.0
1,27,3,30.75,34.75,34.75,0.0,0,0.0
1,27,4,30.75,29.37,29.37,0.0,0,0.0
1,28,1,48.6,63.93,63.93,55.72,1,15.33
1,28,2,48.6,55.72,55.72,0.0,0,0.0
1,28,3,48.6,49.12,49.12,0.0,0,0.0
1,28,4,48.6,43.38,43.38,0.0,0,0.0
1,29,1,47.53,40.06,40.06,0.0,0,0.0
1,29,2,47.53,45.11,45.11,0.0,0,0.0
1,29,3,47.53,54.82,54.82,45.11,1,7.29
1,29,4,47.53,39.99,39.99,0.0,0,0.0
1,30,1,21.18,5.49,5.49,0.0,0,0.0
1,30,2,21.18,17.23,17.23,0.0,0,0.0
1,30,3,21.18,23.79,23.79,0.0,0,0.0
1,30,4,21.18,29.42,29.42,23.79,1,8.24
1,31,1,99.51,93.2,93.2,0.0,0,0.0
1,31,2,99.51,90.83,90.83,0.0,0,0.0
1,31,3,99.51,94.47,94.47,0.0,0,0.0
1,31,4,99.51,98.96,98.96,94.47,1,0.0
1,32,1,22.47,15.47,15.47,0.0,0,0.0
1,32,2,22.47,33.8,33.8,29.47,1,11.33
1,32,3,22.47,23.35,23.35,0.0,0,0.0
1,32,4,22.47,29.47,29.47,0.0,0,0.0
1,33,1,7.1,2.2,2.2,0.0,0,0.0
1,33,2,7.1,1.81,1.81,0.0,0,0.0
1,33,3,7.1,23.52,23.52,2.2,1,16.42
1,33,4,7.1,0.0,0.0,0.0,0,0.0
1,34,1,7.09,8.21,8.21,0.0,0,0.0
1,34,2,7.09,21.91,21.91,12.28,1,14.82
1,34,3,7.09,8.27,8.27,0.0,0,0.0
1,34,4,7.09,12.28,12.28,0.0,0,0.0
